obdb_id,brewery_name,brewery_type,street,city,state,postal_code,website_url,longitude,latitude,brewery_id
brewyard-beer-company-llc-glendale,Brewyard Beer Company LLC,micro,906 Western Ave,Glendale,California,91201,http://www.brewyardbeercompany.com,-118.3018112,34.159644,2310
briarscratch-brewing-cottontown,BriarScratch Brewing,micro,Highway 25,Cottontown,Tennessee,37048,http://www.briarscratchbrewing.com,-86.53805,36.4514343,2311
brices-brewing-company-raleigh,Brice's Brewing Company,micro,1822 Garner Station Blvd,Raleigh,North Carolina,27603-3643,http://www.bricesbrewing.com,-78.65871577,35.72493108,2312
brick-and-mortar-brewing-company-suffolk,Brick & Mortar Brewing Company,micro,212 E Washington St,Suffolk,Virginia,23434-4514,,-76.57994305,36.72740683,2313
brick-house-brewery-and-restaurant-patchogue,Brick House Brewery and Restaurant,brewpub,67 W Main St,Patchogue,New York,11772-3001,http://www.brickhousebrewery.com,-73.01556054,40.7657941,2314
brick-oven-pizza-co-brick-and-forge-brewing-paragould,Brick Oven Pizza Co / Brick & Forge Brewing,brewpub,2410 Linwood Dr,Paragould,Arkansas,72450-6122,http://www.brickovenpizzacompany.com,-90.52047972,36.03163581,2315
brick-oven-pizza-co-brick-and-forge-brewing-abilene,Brick Oven Pizza Co/ Brick & Forge Brewing,brewpub,4714 S 14th St,Abilene,Texas,79605-4733,,-99.78335777,32.42968055,2316
brick-west-brewing-co-spokane,Brick West Brewing Co,micro,1318 W 1st Ave,Spokane,Washington,99201,https://www.brickwestbrewingco.com,-117.43187853068434,47.65762328815172,2317
brick-works-brewing-and-eats-smyrna,Brick Works Brewing and Eats,brewpub,230 S Dupont Blvd,Smyrna,Delaware,19977-1573,http://www.brickworksde.com,-75.60080124,39.29825995,2318
brick-and-barrel-cleveland,Brick and Barrel,micro,1844 Columbus Rd,Cleveland,Ohio,44113-2412,http://www.brickandbarrelbrewing.com,-81.7008861,41.4895629,2319
brickhaven-brewing-company-grand-ledge,BrickHaven Brewing Company,micro,200 E Jefferson St,Grand Ledge,Michigan,48837-1537,,-84.745273,42.752301,2320
brickstone-brewery-brewpub-bourbonnais,BrickStone Brewery Brewpub,brewpub,557 William Latham Dr,Bourbonnais,Illinois,60914-2319,http://www.brickstonebrewery.com,-87.881654,41.162675,2321
bricktown-brewery-oklahoma-city-2,Bricktown Brewery,brewpub,1 N Oklahoma Ave,Oklahoma City,Oklahoma,73104-2413,http://www.bricktownbrewery.com,-97.510181,35.567702,2322
bricktown-brewery-oklahoma-city-1,Bricktown Brewery,brewpub,1 Remington Pl,Oklahoma City,Oklahoma,73111,http://www.bricktownbrewery.com,-97.471261,35.5277209,2322
bricktowne-brewing-co-medford,Bricktowne Brewing Co,brewpub,111 E 8th St,Medford,Oregon,97501-7201,http://www.bricktownebeer.com,-122.8721525,42.32544541,2323
brickway-brewery-and-distillery-omaha,Brickway Brewery and Distillery,micro,1116 Jackson St,Omaha,Nebraska,68102-2825,http://www.drinkbrickway.com,-95.93090524,41.25449082,2324
brickyard-brewing-company-lewiston,Brickyard Brewing Company,brewpub,436 Center St,Lewiston,New York,14092-1604,http://www.brickyardbrewingcompany.com,-79.04306419,43.1729222,2325
bridge-and-tunnel-brewery-ridgewood,Bridge And Tunnel Brewery,micro,15-35 Decatur St,Ridgewood,New York,11385-5818,http://www.bridgeandtunnelbrewery.com,-73.9017521,40.6943348,2326
bridgeport-brewing-co-portland,BridgePort Brewing Co,regional,1318 NW Northrup St,Portland,Oregon,97209-2808,http://www.bridgeportbrew.com,-122.6848601,45.53133335,2327
bridger-brewing-company-bozeman,Bridger Brewing Company,brewpub,1609 S 11th Ave,Bozeman,Montana,59715-5466,http://www.bridgerbrewing.com,-111.0526959,45.6627215,2328
brieux-carre-brewing-company-new-orleans,Brieux Carre Brewing Company,micro,2115 Decatur St,New Orleans,Louisiana,70116,http://www.brieuxcarre.com,-90.0572496,29.9627851,2329
brigadoon-brewery-and-brew-school-pasadena,Brigadoon Brewery & Brew School,micro,4808 Fairmont Pkwy Ste 112,Pasadena,Texas,77505-3722,http://www.brigadoonbrewery.com,-95.1511925,29.6501134,2330
bright-penny-brewing-company-mebane,Bright Penny Brewing Company,contract,309 W Graham St,Mebane,North Carolina,27302-2311,http://www.brightpennybrewing.com,-79.27030152,36.09926877,2331
brim-kitchen-and-brewery-willoughby,Brim Kitchen and Brewery,brewpub,3941 Erie St,Willoughby,Ohio,44094-7704,http://www.brimbrewery.com,-81.40637701,41.64346969,2332
brindle-haus-brewing-company-spencerport,Brindle Haus Brewing Company,micro,377 S Union St,Spencerport,New York,14559-1970,http://www.brindlehausbrewing.com,-77.804122,43.185296,2333
brink-brewing-company-cincinnati,Brink Brewing Company,micro,5905 Hamilton Ave,Cincinnati,Ohio,45224-3045,http://www.brinkbrewing.com,-84.545876,39.192788,2334
brinx-jones-brewery-vineland,Brinx Jones Brewery,micro,613 E Landis Ave,Vineland,New Jersey,8360,http://www.brinxjones.com,-75.02304749,39.485955,2335
brioux-city-brewery-sioux-city,Brioux City Brewery,micro,1306 Court St,Sioux City,Iowa,51105,http://www.briouxcitybrewery.com,-96.39640025,42.50441425,2336
bristol-brewing-co-colorado-springs,Bristol Brewing Co,micro,1604 S Cascade Ave,Colorado Springs,Colorado,80905-2237,http://www.bristolbrewing.com,-104.827401,38.8108617,2337
bristol-station-brews-and-taproom-bristol,Bristol Station Brews & Taproom,micro,41 Piedmont Ave,Bristol,Virginia,24201-4160,http://www.bristolbrew.com,-82.1842085,36.59629295,2338
brite-eyes-brewing-co-kalamazoo,Brite Eyes Brewing Co,brewpub,1156 S Burdick St,Kalamazoo,Michigan,49001-2741,,-85.582846,42.27977268,2339
british-bulldog-brewery-chico,British Bulldog Brewery,micro,14540 Camaren Park Dr,Chico,California,95973-8835,http://www.britishbulldogbrewery.com,-121.8468316,39.83081138,2340
brix-taphouse-and-brewery-greeley,Brix Taphouse and Brewery,brewpub,813 8th St,Greeley,Colorado,80631-3911,http://www.brixtaphouseandbrewery.com,-104.6911371,40.42495461,2341
brixton-brewing-rochester,Brixton Brewing,brewpub,165 Brighton Ave,Rochester,Pennsylvania,15074-2203,http://www.brixtonbrewing.com,-80.2828549,40.70091875,2342
broad-brook-brewing-company-suffield,Broad Brook Brewing Company,micro,915 South St,Suffield,Connecticut,6078,http://www.broadbrookbrewing.com,-72.66266463,41.96200785,2343
broadway-brewery-columbia,Broadway Brewery,brewpub,816 E Broadway Ste B,Columbia,Missouri,65201-4898,http://www.broadwaybrewery.com,-92.327968,38.951342,2344
brockopp-brewing-valley-city,Brockopp Brewing,nano,114 Main St E,Valley City,North Dakota,58072-3450,https://www.facebook.com/BrockoppBrewing,-98.00272896,46.92586281,2345
broken-arrow-brewing-co-broken-arrow,Broken Arrow Brewing Co.,micro,333 W Dallas St,Broken Arrow,Oklahoma,74012-4026,http://www.brokenarrowbrewingco.com,-95.79448895,36.0502662,2346
broken-bow-brewery-tuckahoe,Broken Bow Brewery,micro,173 Marbledale Rd,Tuckahoe,New York,10707-3117,http://www.brokenbowbrewery.com,-73.8190325,40.9549645,2347
broken-horn-brewing-company-mccall,Broken Horn Brewing Company,micro,201 S Mission St,McCall,Idaho,83638,http://www.brokenhornbrewing.com,-116.104522,44.896502,2348
broken-symmetry-gastro-brewery-bethel,Broken Symmetry Gastro Brewery,brewpub,5 Depot Pl,Bethel,Connecticut,06801-2507,,-73.41424776,41.37097334,2349
broken-tooth-brewing-co-anchorage,Broken Tooth Brewing Co,brewpub,2021 Spar Ave,Anchorage,Alaska,99501-1815,https://brokentoothbrewing.net,-149.8437638,61.2225517,2350
broken-trail-brewery-and-distillery-albuquerque,Broken Trail Brewery & Distillery,micro,2921 Stanford Dr NE,Albuquerque,New Mexico,87107-1813,http://www.brokentrailspirits.com,-106.6175091,35.11440682,2351
broken-wheel-brewery-marksville,Broken Wheel Brewery,brewpub,109 Tunica Dr E,Marksville,Louisiana,71351-3005,,-92.06931518,31.12386287,2352
brokerage-brewing-company-west-lafayette,Brokerage Brewing Company,micro,2516 Covington St,West Lafayette,Indiana,47906-1404,http://www.brokeragebrewing.com,-86.91414689,40.45361124,2353
bron-yr-aur-brewing-naches,Bron Yr Aur Brewing,micro,12160 US Highway 12,Naches,Washington,98937-9222,https://bronyraurbrewing.com,-120.7393151153422,46.7396161451052,2354
bronze-owl-brewing-poplar-bluff,Bronze Owl Brewing,brewpub,506 Vine St,Poplar Bluff,Missouri,63901-7331,http://www.bronzeowlbrewing.com,-90.39577338,36.75663108,2355
brookeville-beer-farm-brookeville,Brookeville Beer Farm,micro,20315 Georgia Ave,Brookeville,Maryland,20833-1711,http://www.brookevillebeerfarm.com,-77.0579247,39.1780888,2356
brother-ass-brewing-vancouver,Brother Ass Brewing,micro,11700 NE 54th Ct,Vancouver,Washington,98686-4589,http://www.brotherassbrewing.com,-122.61702353863129,45.70699686016716,2357
brothers-cascadia-brewing-vancouver,Brothers Cascadia Brewing,micro,9811 NE 15th Ave,Vancouver,Washington,98665-9102,http://www.brotherscascadiabrewing.com,-122.6553318,45.6499058,2358
brothers-craft-brewing-harrisonburg,Brothers Craft Brewing,micro,800 N Main St,Harrisonburg,Virginia,22802-4625,http://www.brotherscraftbrewing.com,-78.861099,38.45757,2359
brotherton-brewing-company-shamong,Brotherton Brewing Company,micro,340 Forked Neck Rd,Shamong,New Jersey,8088,http://www.brothertonbrewing.com,-74.72540127,39.78817758,2360
brotherwell-brewing-waco,Brotherwell Brewing,micro,400 E Bridge St,Waco,Texas,76704-2505,,-97.124214,31.56428,2361
brouwerij-cursus-keme-asheville,Brouwerij Cursus Keme,brewpub,155 Thompson St,Asheville,North Carolina,28803-1443,,-82.52572837,35.57438843,2362
brouwerij-les-deplorables-woodinville,Brouwerij Les Deplorables,nano,19812 163rd Ave NE,Woodinville,Washington,98072-7027,,-122.1225485,47.7711936,2363
brown-iron-brewhouse-washington,Brown Iron Brewhouse,brewpub,57695 Van Dyke Rd,Washington,Michigan,48094-2879,http://www.browniron.com,-83.03578521,42.71929931,2364
brown-truck-brewery-high-point,Brown Truck Brewery,micro,1234 N Main St,High Point,North Carolina,27262-3118,http://www.browntruckbrewery.com,-80.0158688,35.9709266,2365
browns-brewing-co-north-hoosick,Brown's Brewing Co,brewpub,50 Factory Hill Rd,North Hoosick,New York,12133,http://www.brownsbrewing.com,-73.34515821,42.92661444,2366
browns-brewing-co-troy,Brown's Brewing Co,brewpub,417 River St,Troy,New York,12180-2822,http://www.brownsbrewing.com,-73.68755002,42.73567746,2366
brurm-at-bar-new-haven,BruRm At Bar,brewpub,254 Crown St,New Haven,Connecticut,06511-6610,http://www.barnightclub.com,-72.9302577,41.3061639,2367
bruehol-brewing-llc-benicia,Bruehol Brewing LLC,proprietor,4828 E 2nd St,Benicia,California,94510-1023,http://www.bruehol.com,-122.1275637,38.08086313,2368
brueprint-brewing-company-llc-apex,Brueprint Brewing Company LLC,micro,1229 Perry Rd Ste 101,Apex,North Carolina,27502-6898,http://www.brueprint.com,-78.85014375,35.70884819,2369
bruery-the-placentia,"Bruery, The",micro,717 Dunn Way,Placentia,California,92870-6806,http://www.thebruery.com,-117.8791616,33.8623093,2370
brush-creek-brewing-company-atkinson,Brush Creek Brewing Company,brewpub,102 N Main St,Atkinson,Nebraska,68713-4946,,-98.97836727,42.53141502,2371
brutopia-brewery-and-kitchen-cranston,Brutopia Brewery and Kitchen,brewpub,505 Atwood Ave,Cranston,Rhode Island,02920-5327,http://www.brutopiabrewery.com,-71.47169613,41.78983825,2372
bubes-brewery-mount-joy,Bubes Brewery,brewpub,102 N Market St,Mount Joy,Pennsylvania,17552-1306,http://www.bubesbrewery.com,-76.50290152,40.11180762,2373
bucks-brewing-co-newark,Buck's Brewing Co,micro,993 Mount Vernon Rd,Newark,Ohio,43055-4728,,-82.41752143,40.08367829,2374
bucket-brigade-brewery-cape-may-court-house,Bucket Brigade Brewery,micro,205 N Main St,Cape May Court House,New Jersey,08210-2121,http://www.bucketbrigadebrewery.com,-74.81946353,39.086856,2375
buckeye-beer-engine-lakewood,Buckeye Beer Engine,brewpub,15315 Madison Ave,Lakewood,Ohio,44107-4020,http://www.buckeyebeerengine.com,-81.803918,41.477245,2376
buckeye-lake-brewery-buckeye-lake,Buckeye Lake Brewery,micro,5176 Walnut Rd,Buckeye Lake,Ohio,43008,,-82.488973,39.928559,2377
buckhorn-brewers-llc-loveland,Buckhorn Brewers LLC,micro,4229 W Eisenhower Blvd,Loveland,Colorado,80537-9202,,-105.0925735,40.4058904,2378
buckledown-brewing-lyons,BuckleDown Brewing,micro,8700 47th St,Lyons,Illinois,60534-1626,http://buckledownbrewing.com,-87.8034082,41.8083636,2379
buffalo-bayou-brewing-co-houston,Buffalo Bayou Brewing Co,micro,5301 Nolda St,Houston,Texas,77007-2234,http://www.buffbrew.com,-95.4160849,29.775978,2380
buffalo-bills-brewery-hayward,Buffalo Bills Brewery,brewpub,1082 B St,Hayward,California,94541-4108,http://www.buffalobillsbrewery.com,-122.0768666,37.6770284,2381
buffalo-brewing-co-toppenish,Buffalo Brewing Co,planning,790 Hop Rd,Toppenish,Washington,98948-9674,,-120.16346745749271,46.2372723336383,2382
buffalo-brewing-company-buffalo,Buffalo Brewing Company,micro,314 Myrtle Ave,Buffalo,New York,14204-2058,http://www.buffalo-brewing-company.com,-78.85968835,42.87851264,2383
buffalo-brewing-company-at-the-water-buffalo-little-rock,Buffalo Brewing Company At The Water Buffalo,micro,106 S Rodney Parham Rd,Little Rock,Arkansas,72205,http://www.thewaterbuffalo.com,-92.366648,34.752616,2384
buffalo-brewpub-buffalo,Buffalo Brewpub,brewpub,6861 Main St,Buffalo,New York,14221-5929,http://www.buffalobrewpub.com,-78.831057,42.946564,2385
buffalo-commons-brewing-company-mandan,Buffalo Commons Brewing Company,micro,2307 Memorial Hwy,Mandan,North Dakota,58554-4624,http://www.buffalocommonsbeer.com,-100.8618267,46.82409056,2386
buffalo-creek-brewing-long-grove,Buffalo Creek Brewing,micro,360 Historical Ln,Long Grove,Illinois,60047-9613,http://www.facebook.com/buffalocreekbrewing,-87.99776222,42.17719457,2387
buffalo-mountain-brewery-floyd,Buffalo Mountain Brewery,micro,332 Webbs Mill Rd N,Floyd,Virginia,24091,,-80.32462582,36.92079563,2388
buffalo-ridge-brewing-hartford,Buffalo Ridge Brewing,micro,102 N Main Ave,Hartford,South Dakota,57033-2165,http://buffaloridgebrewing.com,-96.94549247,43.62226751,2389
buffalo-riverworks-brewery-buffalo,Buffalo RiverWorks Brewery,brewpub,359 Ganson St,Buffalo,New York,14203-3062,http://www.buffaloriverworks.com,-78.87249292,42.8696795,2390
buffalo-water-beer-co-milwaukee,Buffalo Water Beer Co,contract,"309 N Water St, #315",Milwaukee,Wisconsin,53202-5710,http://www.buffalowaterbeer.com,-87.9092089,43.0341323,2391
bull-and-bush-brewery-denver,Bull & Bush Brewery,brewpub,4700 E Cherry Creek South Dr,Denver,Colorado,80246-1819,http://www.bullandbush.com,-104.9488456,39.7116689,2392
bull-durham-beer-co-durham,Bull Durham Beer Co,micro,409 Blackwell St,Durham,North Carolina,27701-3972,http://www.bulldurhambeer.com,-78.90481568,35.9915653,2393
bull-falls-brewery-llc-wausau,Bull Falls Brewery LLC,micro,901 E Thomas St,Wausau,Wisconsin,54403-6450,http://www.bullfallsbrewery.com,-89.6174386,44.951511,2394
bull-island-brewing-company-hampton,Bull Island Brewing Company,brewpub,758 Settlers Landing Rd,Hampton,Virginia,23669-4035,http://www.bullislandbrewing.com,-76.34206545,37.02487345,2395
bulldog-brewing-whiting,Bulldog Brewing,brewpub,1409 119th St,Whiting,Indiana,46394-1714,http://www.bulldogbrewingco.com,-87.4951351,41.679491,2396
bullfrog-brewery-production-only-williamsport,Bullfrog Brewery - Production Only,micro,229 W 4th St,Williamsport,Pennsylvania,17701-6112,,-77.051529,41.2399548,2397
bullfrog-creek-brewing-company-valrico,Bullfrog Creek Brewing Company,micro,3632 Lithia Pinecrest Rd,Valrico,Florida,33596-6305,http://www.bullfrogcreekbrewing.com,-82.2695872,27.9229731,2398
bullquarian-brewhouse-llc-monroe,"Bullquarian Brewhouse, LLC",brewpub,1128 17th Ave,Monroe,Wisconsin,53566-2007,,-89.6383093,42.60032375,2399
bullthistle-brewing-co-sherburne,Bullthistle Brewing Co.,brewpub,45 S Main St,Sherburne,New York,13460-9202,,-75.49576861,42.67156527,2400
buoy-beer-company-astoria,Buoy Beer Company,micro,1 8th St,Astoria,Oregon,97103-4506,http://www.buoybeer.com,-123.835151,46.1913235,2401
bur-oak-brewing-company-columbia,Bur Oak Brewing Company,micro,8250 E Trade Center Dr,Columbia,Missouri,65201-7635,http://www.buroakbeer.com,-92.210993,38.954686,2402
burdick-brewery-seattle,Burdick Brewery,closed,8520 14th Ave S,Seattle,Washington,98108-4803,http://www.burdickbrewery.com,-122.3145617,47.5267286,2403
burgundian-brewing-co-denver,Burgundian Brewing Co.,micro,4725 Lipan St,Denver,Colorado,80211-2334,http://www.facebook.com/BurgundianBrewing,-105.0024095,39.7825168,2404
burial-beer-co-asheville,Burial Beer Co,micro,40 Collier Ave,Asheville,North Carolina,28801-4024,http://www.burialbeer.com,-82.55379062,35.5879562,2405
burke-gilman-brewing-seattle,Burke-Gilman Brewing,micro,3626 NE 45th St Ste 102,Seattle,Washington,98105-5652,http://www.burkegilmanbrewing.com/,-122.28807148465783,47.66183204557074,2406
burley-oak-craft-brewery-berlin,Burley Oak Craft Brewery,micro,10016 Old Ocean City Blvd,Berlin,Maryland,21811-1145,http://www.burleyoak.com,-75.2169864,38.3336448,2407
burnem-brewing-michigan-city,Burn'Em Brewing,brewpub,718 Freyer Rd,Michigan City,Indiana,46360-1911,http://www.burnembrewing.com,-86.82979191,41.73849717,2408
burnin-daylight-brewing-company-lomita,Burnin Daylight Brewing Company,planning,,Lomita,California,90717,,-118.3195014,33.8036545,2409
burning-beard-brewing-el-cajon,Burning Beard Brewing,micro,785 Vernon Way,El Cajon,California,92020-1938,http://www.burningbeardbrewing.com,-116.9717836,32.81201287,2410
burnside-brewing-co-portland,Burnside Brewing Co,micro,701 E Burnside St,Portland,Oregon,97214-1218,http://www.burnsidebrewco.com,-122.6584695,45.5233261,2411
burnt-city-brewing-chicago,Burnt City Brewing,micro,2747 N Lincoln Ave,Chicago,Illinois,60614-1320,http://www.burntcitybrewing.com,-87.65722732,41.93185255,2412
burnt-timber-brewing-wolfeboro,Burnt Timber Brewing,brewpub,96 Lehner St,Wolfeboro,New Hampshire,3894,http://www.burnttimbertavern.com,-71.20968924,43.58632316,2413
burwood-brewing-company-walla-walla,Burwood Brewing Company,micro,1120 E St,Walla Walla,Washington,99362-9505,http://www.burwoodbrewing.com,-118.2653286,46.0940928,2414
busted-knuckle-brewery-williston,Busted Knuckle Brewery,micro,213 11th St W,Williston,North Dakota,58801-5125,http://bkbwilliston.com,-103.6271886,48.15635372,2415
busted-knuckle-brewery-glasgow,Busted Knuckle Brewery,micro,303 1st Ave S,Glasgow,Montana,59230-2308,,-106.6335464,48.1938472,2415
butcherknife-brewing-company-steamboat-springs,Butcherknife Brewing Company,micro,2875 Elk River Rd,Steamboat Springs,Colorado,80487-5076,http://www.butcherknifebrewing.com,-106.857763,40.510887,2416
butler-brew-works-butler,Butler Brew Works,brewpub,101 S Main St,Butler,Pennsylvania,16001-5907,http://www.butlerbrewworks.com,-79.895238,40.860914,2417
butte-brewing-co-butte,Butte Brewing Co,micro,465 E Galena St,Butte,Montana,59701-1928,http://www.buttebrewing.com,-112.5259197,46.01246804,2418
butternuts-beer-garrattsville,Butternuts Beer,micro,4021 State Highway 51,Garrattsville,New York,13342-1705,http://www.butternutsbeer.com,-75.1914973,42.62396243,2419
buzz-bomb-brewing-co-springfield,Buzz Bomb Brewing Co,micro,406 E Adams St,Springfield,Illinois,62701,http://www.buzzbombbrewingco.com,-89.65050394,39.8005279,2420
buzzards-bay-brewing-co-westport,Buzzards Bay Brewing Co,micro,98 Horseneck Rd,Westport,Massachusetts,02790-1399,http://www.buzzardsbrew.com,-71.04970461,41.55207456,2421
cb-and-pottsbig-horn-brewery-highlands-ranch-highlands-ranch,C.B. and Potts/Big Horn Brewery - Highlands Ranch,brewpub,43 W Centennial Blvd,Highlands Ranch,Colorado,80129-2323,http://www.cbpotts.com,-104.9887246,39.56211674,2422
cb-and-pottsbig-horn-brewery-westminster-westminster,C.B. and Potts/Big Horn Brewery - Westminster,brewpub,1257 W 120th Ave,Westminster,Colorado,80234-2725,http://www.cbpotts.com,-105.0040899,39.91376115,2423
cjs-brewing-co-commerce-township,CJs Brewing Co,brewpub,8115 Richardson Rd,Commerce Township,Michigan,48390-4131,http://www.cjsbrewingcompany.com,-83.44295839,42.57743694,2424
cle-brewing-mentor,CLE Brewing,micro,9431 Mercantile Dr,Mentor,Ohio,44060,http://www.smarterbrewing.com,-81.30644573,41.69622887,2425
cr-brewing-company-new-castle,CR Brewing Company,brewpub,3009 Wilmington Rd,New Castle,Pennsylvania,16105,http://www.crbrewingcompany.com,-80.3493196,41.0103937,2426
craft-64-scottsdale,CRAFT 64,contract,6922 E Main St,Scottsdale,Arizona,85251-4312,http://www.craft64.com,-111.9319271,33.493153,2427
cabarrus-brewing-company-concord,Cabarrus Brewing Company,micro,329 McGill Ave NW,Concord,North Carolina,28027-6149,http://www.cabarrusbrewing.com,-80.60600028,35.41573578,2428
cabin-boys-brewery-tulsa,Cabin Boys Brewery,micro,1717 E. 7th Steeet,Tulsa,Oklahoma,74104,http://www.cabinboysbrewery.com,-95.966947,36.1515468,2429
cabinet-mountain-brewing-co-libby,Cabinet Mountain Brewing Co,brewpub,206 Mineral Ave,Libby,Montana,59923-1952,http://www.cabinetmountainbrewing.com,-115.5506412,48.3936508,2430
caboose-brewing-co-vienna,Caboose Brewing Co.,brewpub,520 Mill St NE,Vienna,Virginia,22180-4526,http://caboosebrewing.com,-77.2705542,38.9077525,2431
cafe-karibo-fernandina-beach,Cafe Karibo,brewpub,27 N 3rd St,Fernandina Beach,Florida,32034-4111,http://www.cafekaribo.com,-81.46300291,30.6716253,2432
cage-brewing-saint-petersburg,Cage Brewing,micro,2001 1st Ave S,Saint Petersburg,Florida,33712-1201,,-82.660409,27.770292,2433
cairn-brewing-kenmore,Cairn Brewing,micro,7204 NE 175th St,Kenmore,Washington,98028-3561,http://www.cairnbrewing.com,-122.2440866,47.7571424,2434
cajun-brewing-lafayette,Cajun Brewing,micro,206 Rayburn St,Lafayette,Louisiana,70506-4130,http://www.cajunbrewing.com,-92.04978922,30.21549043,2435
caldera-brewing-co-ashland,Caldera Brewing Co,micro,590 Clover Ln,Ashland,Oregon,97520-3709,http://www.calderabrewing.com,-122.6633744,42.18373846,2436
caledonia-brewing-dunedin,Caledonia Brewing,micro,587 Main St,Dunedin,Florida,34698-4998,http://www.caledoniabrewing.com,-82.7840735,28.01394225,2437
calfkiller-brewing-co-sparta,Calfkiller Brewing Co,micro,1839 Blue Springs Rd,Sparta,Tennessee,38583-2714,http://www.calfkillerbeer.com,-85.42206083,35.94460668,2438
calibration-brewery-kansas-city,Calibration Brewery,brewpub,119 Armour Rd,Kansas City,Missouri,64116-3502,http://www.calibrationbrewery.com,-94.578762,39.141723,2439
california-cider-co-sebastopol,California Cider Co.,planning,,Sebastopol,California,95472,http://www.acecider.com,-122.8332502,38.3845125,2440
california-wild-ales-san-diego,California Wild Ales,contract,4204 Sorrento Valley Blvd,San Diego,California,92121-1446,,-117.2146488,32.905002,2441
call-to-arms-brewing-company-denver,Call To Arms Brewing Company,micro,4526 Tennyson St,Denver,Colorado,80212-2527,http://www.facebook.com/calltoarmsbrewing,-105.0435373,39.7788541,2442
callahan-west-brewery-mosquero,Callahan West Brewery,micro,20 Main St,Mosquero,New Mexico,87733,,-103.9581938,35.77706974,2443
callsign-brewing-north-kansas-city,Callsign Brewing,micro,1447 Gentry St,North Kansas City,Missouri,64116,http://www.callsignbrewing.com,-94.574428,39.138525,2444
calusa-brewing-company-sarasota,Calusa Brewing Company,micro,5701 Derek Ave,Sarasota,Florida,34233-2413,http://www.calusabrewing.com,-82.483799,27.269363,2445
cambridge-house-brew-pub-granby-granby,Cambridge House Brew Pub - Granby,brewpub,357 Salmon Brook St,Granby,Connecticut,06035-0438,http://www.cbh.beer,-72.79259539,41.96631414,2446
camino-brewing-co-llc-san-jose,Camino Brewing Co LLC,micro,718 S 1st St,San Jose,California,95113,http://www.caminobrewing.com,-121.8823478,37.32530178,2447
camp-colvos-brewing-vashon,Camp Colvos Brewing,micro,17636 Vashon Hwy SW,Vashon,Washington,98070-6052,http://www.campcolvos.com,-122.46026968836124,47.4470138632608,2448
campbell-brewing-co-campbell,Campbell Brewing Co,micro,200 E Campbell Ave,Campbell,California,95008-2010,,-121.9332743,37.2870748,2449
can-of-worms-brewing-glendale,Can Of Worms Brewing,planning,,Glendale,California,91214-1713,http://www.canofwormsbrewing.com,-118.2462486,34.192912,2450
candia-road-brewing-nepenthe-ale-house-manchester,Candia Road Brewing / Nepenthe Ale House,micro,840 Candia Rd,Manchester,New Hampshire,03109-5201,http://www.candiaroad.com,-71.41301096,42.9849563,2451
cannon-ball-brewing-company-indianapolis,Cannon Ball Brewing Company,brewpub,1702 Bellefontaine St,Indianapolis,Indiana,46202-1813,http://www.cannonballbrewingindy.com,-86.14245603,39.79046798,2452
canon-and-draw-brewing-company-richmond,Canon & Draw Brewing Company,micro,1527 W Main St,Richmond,Virginia,23220,http://www.canonanddraw.beer,-77.46012854,37.54707897,2453
canteen-brewhouse-albuquerque,Canteen Brewhouse,micro,2381 Aztec Rd NE,Albuquerque,New Mexico,87107-4207,http://www.canteenbrewhouse.com,-106.617653,35.12025411,2454
canterbury-aleworks-canterbury,Canterbury Aleworks,micro,305 Baptist Hill Rd,Canterbury,New Hampshire,03224-2509,http://www.canterburyaleworks.com,-71.51484346,43.38577573,2455
canton-brew-works-llc-canton,"Canton Brew Works, LLC",micro,8521 N Lilley Rd,Canton,Michigan,48187-2091,http://www.cantonbrewworks.com,-83.4586331,42.3224786,2456
canton-brewing-company-canton,Canton Brewing Company,brewpub,120 3rd St NW,Canton,Ohio,44702,http://www.drinkcantonbeer.com,-81.37453867,40.7998289,2457
canyon-club-brewery-moraga,Canyon Club Brewery,planning,,Moraga,California,94556,http://www.canyonclub.works,-122.12883,37.834897,2458
canyon-creek-brewing-billings,Canyon Creek Brewing,micro,3060 Gabel Rd,Billings,Montana,59102-7336,http://www.canyoncreekbrewing.com,-108.5916752,45.74436502,2459
canyon-lakes-golf-course-and-brewery-san-ramon,Canyon Lakes Golf Course & Brewery,brewpub,640 Bollinger Canyon Way,San Ramon,California,94582-4971,http://www.canyonlakesgolfbrew.com,-121.94788,37.77114856,2460
cape-ann-brewing-co-gloucester,Cape Ann Brewing Co,brewpub,11 Rogers St,Gloucester,Massachusetts,01930-5014,,-70.66509344,42.61161602,2461
cape-charles-brewing-company-cape-charles,Cape Charles Brewing Company,brewpub,2198 Stone Rd,Cape Charles,Virginia,23310-2706,http://www.capecharlesbrewing.com,-75.992111,37.269795,2462
cape-may-brewing-company-cape-may,Cape May Brewing Company,micro,409 Breakwater Rd,Cape May,New Jersey,08204-4537,http://www.capemaybrewery.com,-74.91285755,39.00066318,2463
cape-vincent-brewing-co-cape-vincent,Cape Vincent Brewing Co,micro,296 Broadway St,Cape Vincent,New York,13618,http://www.capevincentbrewing.com,-76.33484565,44.12823687,2464
capital-brewery-co-inc-middleton,Capital Brewery Co Inc,regional,7734 Terrace Ave,Middleton,Wisconsin,53562-3163,http://www.capitalbrewery.com,-89.51657978,43.09489645,2465
